ID,Type,Round,Timestamp,Sender,Receiver,Amount (ALGO),Fee (ALGO),Asset ID,Note
H6V2UE4SR3ODG52L56QCNJEXRAUKRARC6Q63FFREPYQAMHCQZYYA,axfer,57652347,2026-01-21 19:52:04 UTC,2RXI2P2WQUAEP7TWZCHCJ7ACWXBB6BS3Z2NQKU4QFY7CUKNRXQRNYTJZJA,U2BCXG737JS4IKUMHKSHR2DOEV7N7AXAG4EFMEO7FOEO5NBD7LKQSLWR6E,20003,0.001,2699078351,
R2FVLVUA3G5CNDSAAV2R4ET7MISR3H6QX2RJ45PMQWF5GANSUJ5A,axfer,57518860,2026-01-17 11:55:50 UTC,ZVLRVYQSLJNVFMOIOKT35XH5SNQG45IVFMLLRFLHDQJQA5TO5H3SO4TVDQ,2RXI2P2WQUAEP7TWZCHCJ7ACWXBB6BS3Z2NQKU4QFY7CUKNRXQRNYTJZJA,198,0.001,2699078351,
ALAKLFOQXFHWV72WQHQMTBO5HZEVN7VPRXU2A7EHTE54HKQDNWVA,axfer,57500940,2026-01-16 22:00:17 UTC,IE47AFKHJRNQK6GA5RTDJT6SOBIIZLHGOGVWDZY5BF6ELB2FBIKUSGWOKU,2RXI2P2WQUAEP7TWZCHCJ7ACWXBB6BS3Z2NQKU4QFY7CUKNRXQRNYTJZJA,19805,0.001,2699078351,
D4D3KGCOZYGLYN7GZ6LKWHYBV64UNHRXCIZM4SKD5VPVIOLN3TCA,axfer,57500679,2026-01-16 21:48:04 UTC,2RXI2P2WQUAEP7TWZCHCJ7ACWXBB6BS3Z2NQKU4QFY7CUKNRXQRNYTJZJA,IE47AFKHJRNQK6GA5RTDJT6SOBIIZLHGOGVWDZY5BF6ELB2FBIKUSGWOKU,198019805,0.001,2699078351,
KYJXFDOENP27EY4ZQSHEQBDOAHL44XNVDQ63FZ6WQZYWVRT6SFFA,axfer,57499898,2026-01-16 21:11:08 UTC,ZVLRVYQSLJNVFMOIOKT35XH5SNQG45IVFMLLRFLHDQJQA5TO5H3SO4TVDQ,2RXI2P2WQUAEP7TWZCHCJ7ACWXBB6BS3Z2NQKU4QFY7CUKNRXQRNYTJZJA,198000000,0.001,2699078351,TlVHR0VUIGRhaWx5IGRyb3A=
